,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
697,Volkswagen Vento Diesel Highline,/used-car-details/used-Volkswagen-Vento-2010-2013-Diesel-Highline-cars-Kolkata_3A2EB433ED67C4E514D3E523AE60B33E.htm,2013,3.25 Lakh*,,"55,000 kms",Diesel,Dealer,103.6bhp@4400rpm,Manual,First Owner,20.54 kmpl,1598 CC,FWD,5,5 Speed
698,Ford Figo Diesel LXI,/used-car-details/used-Ford-Figo-2010-2012-Diesel-LXI-cars-Kolkata_86F0E1D84E35E3DB14B2D05D19AB4FE6.htm,2011,1.6 Lakh*,Rs.  9.01-9.50 Lakh*,"80,000 kms",Diesel,Individual,68bhp@4000rpm,Manual,First Owner,20.0 kmpl,1399 CC,Front Wheel Drive,5,5 Speed
699,Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,/used-car-details/used-Mahindra-Scorpio-2009-2014-VLX-2WD-AIRBAG-AT-BSIV-cars-Kolkata_732F3438CFF3C57AFCD1B63204C12CAE.htm,2011,4.6 Lakh*,Rs.  14.74-20.21 Lakh*,"1,20,000 kms",Diesel,Individual,120bhp@4000rpm,Manual,Second Owner,12.05 kmpl,2179 CC,FWD,8,5 Speed
700,Tata Indica DLX,/used-car-details/used-Tata-Indica-V2-2009-2011-DLX-cars-Kolkata_99077D90F05F20B3A994DF8A632BC30B.htm,2008,"73,000*",,"70,000 kms",Diesel,Individual,"53.5@5,500 (PS@rpm)",Manual,Second Owner,17.2 kmpl,1396 CC,FWD,5,5 Speed
701,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Titanium-Plus-BSIV-cars-Kolkata_4CF7976309299CE5E60BB8BB50F82B3A.htm,2018,7.99 Lakh*,Rs.  10.11-13.26 Lakh*,"45,000 kms",Diesel,Dealer,98.96bhp@3750rpm,Manual,First Owner,23.0 kmpl,1498 CC,FWD,5,5 Speed
702,Datsun RediGO AMT 1.0 S,/used-car-details/used-Datsun-redi-GO-2016-2020-AMT-1.0-S-cars-Kolkata_1CD6196767ACB223A9B073DEC3CE601E.htm,2018,3.49 Lakh*,Rs.  4.27-5.50 Lakh*,"14,002 kms",Petrol,Dealer,67bhp@5500rpm,Automatic,First Owner,23.0 kmpl,999 CC,2WD,5,5-Speed
703,Honda City 1.5 S MT,/used-car-details/used-Honda-City-2008-2011-1.5-S-MT-cars-Kolkata_738A57002B03C4D9D56C19BDFFE4E413.htm,2009,3.3 Lakh*,Rs.  12.47-16.62 Lakh*,"40,000 kms",Petrol,Individual,"118PS at 6,600 rpm",Manual,First Owner,17.0 kmpl,1497 CC,FWD,5,5 Speed
704,Volkswagen Passat Diesel Trendline,/used-car-details/used-Volkswagen-Passat-2007-2010-Diesel-Trendline-cars-Kolkata_3A75AA229AC7862FB9DC4C26C39DF8CF.htm,2012,4.5 Lakh*,,"42,477 kms",Diesel,Dealer,167.7bhp@4200rpm,Manual,First Owner,18.33 kmpl,1968 CC,FWD,5,6 Speed 
705,Mahindra Scorpio VLX 4WD BSIV,/used-car-details/used-Mahindra-Scorpio-2009-2014-VLX-4WD-BSIV-cars-Kolkata_B7E4DBC77EFE384EF22A8645CE50A415.htm,2011,4.75 Lakh*,Rs.  14.74-20.21 Lakh*,"52,920 kms",Diesel,Dealer,120bhp@4000rpm,Manual,First Owner,12.05 kmpl,2179 CC,4 WD,8,5 Speed
706,BMW 5 Series 525i,/used-car-details/used-BMW-5-Series-2010-2013-525i-cars-Kolkata_0EEF35B71B9ECF95B62C1AD7DADDDC04.htm,2008,9.5 Lakh*,Rs.  70.00 Lakh*,"31,400 kms",Petrol,Dealer,"215 @ 6,500 (PS@rpm)",Automatic,First Owner,10.8 kmpl,2497 CC,,5,6 Speed
707,Maruti Eeco 7 Seater Standard BSIV,/used-car-details/used-Maruti-Eeco-7-Seater-Standard-BSIV-cars-Kolkata_5B5DC47CAF7E26CA8C90A19DCA455344.htm,2010,2 Lakh*,Rs.  4.59-5.04 Lakh*,"62,608 kms",Petrol,Dealer,73bhp@6000rpm,Manual,First Owner,15.37 kmpl,1196 CC,RWD,7,5 Speed
708,Audi A6 2.0 TDI Technology,/used-car-details/used-Audi-A6-2011-2015-2.0-TDI-Technology-cars-Kolkata_1C132C3BC706540767658352C848ECDC.htm,2015,22.9 Lakh*,,"18,000 kms",Diesel,Dealer,174.33bhp@3750-4200rpm,Automatic,First Owner,17.68 kmpl,1968 CC,FWD,5,8 Speed
